,url,price,locali,superficie,bagni,piano
131,https://www.immobiliare.it/70416958-Vendita-Bilocale-via-Sulbiate-33-Roma.html,169.000,2 ,72,1 ,1
132,https://www.immobiliare.it/70406708-Vendita-Trilocale-piazza-Ischia-Roma.html,249.000,3 ,85,1 ,1
133,https://www.immobiliare.it/70419028-Vendita-Bilocale-via-Ammiraglio-Marzolo-Roma.html,145.000,2 ,67,1 ,R
134,https://www.immobiliare.it/70416956-Vendita-Trilocale-via-Filippo-Antonio-Gualterio-Roma.html,270.000,3 ,90,1 ,1
135,https://www.immobiliare.it/70412172-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,315.000,2 ,60,1 ,R
136,https://www.immobiliare.it/70412974-Vendita-Quadrilocale-viale-del-Lido-Roma.html,290.000,4 ,80,2 ,1
137,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
138,https://www.immobiliare.it/70411680-Vendita-Quadrilocale-via-Mario-Vinciguerra-Roma.html,350.000,4 ,160,2 ,T
139,https://www.immobiliare.it/70413218-Vendita-Bilocale-via-Francesco-Grimaldi-Roma.html,249.000,2 ,72,1 ,7
140,https://www.immobiliare.it/70412802-Vendita-Bilocale-via-Nomentana-Nuova-Roma.html,225.000,2 ,65,1 ,5
141,https://www.immobiliare.it/70411894-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,268.000,2 ,50,1 ,R
142,https://www.immobiliare.it/70412836-Vendita-Bilocale-via-dei-Piceni-Roma.html,130.000,2 ,40,1 ,T
143,https://www.immobiliare.it/70420546-Vendita-Trilocale-via-della-Casetta-Mattei-Roma.html,280.000,3 ,93,1 ,R
144,https://www.immobiliare.it/70418640-Vendita-Trilocale-via-suor-celestina-donati-83-Roma.html,379.000,3 ,97,2 ,T
145,https://www.immobiliare.it/70423828-Vendita-Quadrilocale-via-Capo-Palinuro-Roma.html,219.000,4 ,109,1 ,4
146,https://www.immobiliare.it/70422050-Vendita-Trilocale-via-Federico-Delpino-Roma.html,279.000,3 ,105,1 ,T
147,https://www.immobiliare.it/70420908-Vendita-Bilocale-via-Benigno-Crespi-Roma.html,99.000,2 ,89,1 ,3
148,https://www.immobiliare.it/70419130-Vendita-Attico-Mansarda-via-Ugo-Forti-Roma.html,99.000,1 ,40,1 ,A
149,https://www.immobiliare.it/70416236-Vendita-Appartamento-piazza-del-Fante-10-Roma.html,990.000,5 ,180,3 ,R
150,https://www.immobiliare.it/70417040-Vendita-Quadrilocale-via-Ugo-Forti-Roma.html,149.000,4 ,100,1 ,T
151,https://www.immobiliare.it/70422974-Vendita-Trilocale-via-dei-Castani-60-Roma.html,259.000,3 ,65,1 ,2
152,https://www.immobiliare.it/70415204-Vendita-Trilocale-piazza-Amba-Alagi-Roma.html,380.000,3 ,94,1 ,2
153,https://www.immobiliare.it/70416958-Vendita-Bilocale-via-Sulbiate-33-Roma.html,169.000,2 ,72,1 ,1
154,https://www.immobiliare.it/70406708-Vendita-Trilocale-piazza-Ischia-Roma.html,249.000,3 ,85,1 ,1
155,https://www.immobiliare.it/70419028-Vendita-Bilocale-via-Ammiraglio-Marzolo-Roma.html,145.000,2 ,67,1 ,R
156,https://www.immobiliare.it/70416956-Vendita-Trilocale-via-Filippo-Antonio-Gualterio-Roma.html,270.000,3 ,90,1 ,1
157,https://www.immobiliare.it/70412172-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,315.000,2 ,60,1 ,R
158,https://www.immobiliare.it/70412974-Vendita-Quadrilocale-viale-del-Lido-Roma.html,290.000,4 ,80,2 ,1
159,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
