,url,price,locali,superficie,bagni,piano
9167,https://www.immobiliare.it/68533255-Vendita-Attico-Mansarda-via-Salvatore-Quasimodo-Roma.html,850000,4,190.0,3.0,12.0
9169,https://www.immobiliare.it/69007683-Vendita-Trilocale-via-GIUSEPPE-MEDAIL-185-Roma.html,129000,3,70.0,1.0,2.0
9170,https://www.immobiliare.it/63972736-Vendita-Quadrilocale-viale-Somalia-60-Roma.html,270000,4,122.0,2.0,4.0
9171,https://www.immobiliare.it/70447184-Vendita-Appartamento-via-Canton-Roma.html,400000,5,135.0,2.0,1.0
9172,https://www.immobiliare.it/67317439-Vendita-Bilocale-viale-Dei-Romagnoli-Roma.html,169000,2,60.0,1.0,5.0
9173,https://www.immobiliare.it/69832302-Vendita-Trilocale-via-delle-Vigne-Roma.html,245000,3,75.0,2.0,1.0
9174,https://www.immobiliare.it/68565495-Vendita-Trilocale-via-Matilde-Serao-Roma.html,170000,3,55.0,1.0,0.0
9175,https://www.immobiliare.it/68263169-Vendita-Bilocale-via-dei-Marsi-Roma.html,358000,2,60.0,1.0,12.0
9176,https://www.immobiliare.it/67990769-Vendita-Trilocale-via-orazio-pierozzi-Roma.html,185000,3,70.0,1.0,1.0
9177,https://www.immobiliare.it/67265849-Vendita-Trilocale-via-Ernesto-Mauri-21-Roma.html,205000,3,65.0,1.0,0.5
9178,https://www.immobiliare.it/56774814-Vendita-Appartamento-via-Lucilio-Roma.html,569000,5,160.0,2.0,0.0
9179,https://www.immobiliare.it/69138532-Vendita-Trilocale-via-Polibio-4-Roma.html,360000,3,87.0,2.0,1.0
9180,https://www.immobiliare.it/67733369-Vendita-Trilocale-via-Morro-Reatino-29-Roma.html,165000,3,61.0,1.0,-1.0
9181,https://www.immobiliare.it/70102844-Vendita-Bilocale-via-dei-Meli-76A-Roma.html,119000,2,55.0,1.0,0.0
9182,https://www.immobiliare.it/69778828-Vendita-Appartamento-via-laura-mantegazza-Roma.html,600000,6,140.0,2.0,12.0
9183,https://www.immobiliare.it/70393020-Vendita-Quadrilocale-via-delle-baleari-Roma.html,315000,4,125.0,2.0,4.0
9184,https://www.immobiliare.it/67220489-Vendita-Quadrilocale-viale-Cesare-Pavese-Roma.html,450000,4,140.0,2.0,5.0
9185,https://www.immobiliare.it/70079100-Vendita-Bilocale-via-Piero-Corti-Roma.html,130000,2,55.0,1.0,2.0
9186,https://www.immobiliare.it/69754198-Vendita-Trilocale-via-Cassia-1042-Roma.html,320000,3,82.0,2.0,3.0
9187,https://www.immobiliare.it/68828955-Vendita-Trilocale-via-Albalonga-Roma.html,299000,3,75.0,1.0,7.0
9188,https://www.immobiliare.it/69523696-Vendita-Trilocale-via-dei-Girasoli-Roma.html,99000,3,70.0,1.0,0.0
9189,https://www.immobiliare.it/69095950-Vendita-Trilocale-via-LORENZO-NERUCCI-Roma.html,195900,3,107.0,1.0,0.0
9190,https://www.immobiliare.it/65746485-Vendita-Trilocale-via-delle-Rondini-2-Roma.html,169000,3,62.0,1.0,2.0
9191,https://www.immobiliare.it/68984485-Vendita-Quadrilocale-via-Val-Maggia-140-Roma.html,325000,4,115.0,2.0,0.0
9192,https://www.immobiliare.it/67761895-Vendita-Bilocale-via-giuseppe-ravizza-Roma.html,269000,2,90.0,1.0,7.0
9193,https://www.immobiliare.it/65418230-Vendita-Trilocale-via-Montefiascone-Roma.html,210000,3,65.0,1.0,1.0
9194,https://www.immobiliare.it/54062186-Vendita-Quadrilocale-via-dei-Gracchi-Roma.html,1100000,4,140.0,2.0,5.0
9195,https://www.immobiliare.it/70037472-Vendita-Bilocale-via-carmelo-bene-Roma.html,229000,2,60.0,1.0,1.0
9196,https://www.immobiliare.it/69887090-Vendita-Bilocale-via-Monza-9-Roma.html,299000,2,65.0,1.0,4.0
9197,https://www.immobiliare.it/68374099-Vendita-Appartamento-via-del-Quirinale-Roma.html,790000,6,165.0,1.0,1.0
9198,https://www.immobiliare.it/70423270-Vendita-Attico-Mansarda-via-dei-Capogalli-Roma.html,215000,3,74.0,1.0,12.0
9199,https://www.immobiliare.it/70420672-Vendita-Trilocale-via-Ernesto-Nathan-Roma.html,399000,3,130.0,2.0,5.0
9200,https://www.immobiliare.it/70255660-Vendita-Quadrilocale-via-Bruno-Serotini-Roma.html,370000,4,120.0,2.0,1.0
9201,https://www.immobiliare.it/70175646-Vendita-Quadrilocale-via-Alfredo-Panzini-Roma.html,450000,4,160.0,2.0,0.0
9202,https://www.immobiliare.it/70037384-Vendita-Quadrilocale-via-monti-di-pietralata-Roma.html,349000,4,130.0,2.0,3.0
9203,https://www.immobiliare.it/69535488-Vendita-Bilocale-via-Rezzato-Roma.html,139000,2,50.0,1.0,0.0
9204,https://www.immobiliare.it/67620169-Vendita-Trilocale-via-Santa-gemma-Roma.html,230000,3,70.0,1.0,0.5
9205,https://www.immobiliare.it/67155707-Vendita-Attico-Mansarda-viale-dei-Caduti-nella-Roma.html,179000,4,95.0,2.0,6.0
9206,https://www.immobiliare.it/70211298-Vendita-Trilocale-via-Augusto-Marini-Roma.html,199000,3,91.0,1.0,2.0
9207,https://www.immobiliare.it/69553970-Vendita-Appartamento-via-Portuense-761-Roma.html,469000,5,180.0,3.0,1.0
